send_date,email_type,email_id,email_name,article_or_site,title,blurb,is_advanced_manufacturing,position,link,clicks
2026-02-25,Unclassified,205799234638,(A) RP26 Feb Offer Testimonial A,zellerfeld.com,Zellerfeld,"SPECIAL FEBRUARY OFFER Exploring hundreds of exhibits can take it out of you. That's why, for the first 100 Expo Pass registrants this month, coffee is on us! You'll score a $20 Starbucks gift card. Ready to upgrade your event experience? The first 10 Full Conference Pass purchasers will walk the show floor in style, winning a $200 gift card to Zellerfeld",False,5,https://www.zellerfeld.com/?utm_id=10270200&dlv-emuid=&dlv-mlid=10270200&utm_campaign=38921623-RP26&utm_medium=email&_hsmi=405630911&utm_content=405630911&utm_source=hs_email,39
2026-02-25,Unclassified,205799234638,(A) RP26 Feb Offer Testimonial A,Rp26 Launch Brochure (issuu.com),VIEW BROCHURE,,False,1,https://issuu.com/sme_us/docs/rp26_launch_brochure?utm_campaign=38921623-RP26&utm_medium=email&_hsmi=405630911&utm_content=405630911&utm_source=hs_email,20
2026-02-25,Unclassified,205799234638,(A) RP26 Feb Offer Testimonial A,rapid3devent.com,rapid3devent.com,,False,4,https://www.rapid3devent.com/?utm_campaign=38921623-RP26&utm_medium=email&_hsmi=405630911&utm_content=405630911&utm_source=hs_email,16
2026-02-25,Unclassified,205799234638,(A) RP26 Feb Offer Testimonial A,zellerfeld.com,Zellerfeld,"SPECIAL FEBRUARY OFFER Exploring hundreds of exhibits can take it out of you. That's why, for the first 100 Expo Pass registrants this month, coffee is on us! You'll score a $20 Starbucks gift card. Ready to upgrade your event experience? The first 10 Full Conference Pass purchasers will walk the show floor in style, winning a $200 gift card to Zellerfeld",False,5,https://www.zellerfeld.com/?utm_id=10270200&dlv-emuid=&dlv-mlid=10270200&utm_campaign=38921623-RP26&utm_medium=email&_hsmi=405630913&utm_content=405630911&utm_source=hs_email,10
2026-02-25,Unclassified,205799234638,(A) RP26 Feb Offer Testimonial A,Hotel and Travel (rapid3devent.com),HOTEL & TRAVEL,VIEW BROCHURE | HOTEL & TRAVEL,False,2,https://www.rapid3devent.com/hotel/hotel-and-travel/?utm_campaign=38921623-RP26&utm_medium=email&_hsmi=405630911&utm_content=405630911&utm_source=hs_email,9
2026-02-25,Unclassified,205799234638,(A) RP26 Feb Offer Testimonial A,Rp26 Launch Brochure (issuu.com),VIEW BROCHURE,,False,1,https://issuu.com/sme_us/docs/rp26_launch_brochure?utm_campaign=38921623-RP26&utm_medium=email&_hsmi=405630912&utm_content=405630911&utm_source=hs_email,6
2026-02-25,Unclassified,205799234638,(A) RP26 Feb Offer Testimonial A,zellerfeld.com,Zellerfeld,"SPECIAL FEBRUARY OFFER Exploring hundreds of exhibits can take it out of you. That's why, for the first 100 Expo Pass registrants this month, coffee is on us! You'll score a $20 Starbucks gift card. Ready to upgrade your event experience? The first 10 Full Conference Pass purchasers will walk the show floor in style, winning a $200 gift card to Zellerfeld",False,5,https://www.zellerfeld.com/?utm_id=10270200&dlv-emuid=&dlv-mlid=10270200&utm_campaign=38921623-RP26&utm_medium=email&_hsmi=405630912&utm_content=405630911&utm_source=hs_email,6
2026-02-25,Unclassified,205799234638,(A) RP26 Feb Offer Testimonial A,Why Attend (rapid3devent.com),WHY ATTEND?,VIEW BROCHURE | HOTEL & TRAVEL | WHY ATTEND?,False,3,https://www.rapid3devent.com/attend/why-attend/?utm_campaign=38921623-RP26&utm_medium=email&_hsmi=405630911&utm_content=405630911&utm_source=hs_email,5
2026-02-25,Unclassified,205799234638,(A) RP26 Feb Offer Testimonial A,Rp26 Launch Brochure (issuu.com),VIEW BROCHURE,,False,1,https://issuu.com/sme_us/docs/rp26_launch_brochure?utm_campaign=38921623-RP26&utm_medium=email&_hsmi=405630913&utm_content=405630911&utm_source=hs_email,3
2026-02-25,Unclassified,205799234638,(A) RP26 Feb Offer Testimonial A,Hotel and Travel (rapid3devent.com),HOTEL & TRAVEL,VIEW BROCHURE | HOTEL & TRAVEL,False,2,https://www.rapid3devent.com/hotel/hotel-and-travel/?utm_campaign=38921623-RP26&utm_medium=email&_hsmi=405630912&utm_content=405630911&utm_source=hs_email,2
2026-02-25,Unclassified,205799234638,(A) RP26 Feb Offer Testimonial A,rapid3devent.com,rapid3devent.com,,False,4,https://www.rapid3devent.com/?utm_campaign=38921623-RP26&utm_medium=email&_hsmi=405630912&utm_content=405630911&utm_source=hs_email,2
2026-02-25,Unclassified,205799234638,(A) RP26 Feb Offer Testimonial A,rapid3devent.com,rapid3devent.com,,False,4,https://www.rapid3devent.com/?utm_campaign=38921623-RP26&utm_medium=email&_hsmi=405630913&utm_content=405630911&utm_source=hs_email,2
2026-02-25,Unclassified,205799234638,(A) RP26 Feb Offer Testimonial A,Hotel and Travel (rapid3devent.com),HOTEL & TRAVEL,VIEW BROCHURE | HOTEL & TRAVEL,False,2,https://www.rapid3devent.com/hotel/hotel-and-travel/?utm_campaign=38921623-RP26&utm_medium=email&_hsmi=405630913&utm_content=405630911&utm_source=hs_email,2
2026-02-25,Unclassified,205799234638,(A) RP26 Feb Offer Testimonial A,Why Attend (rapid3devent.com),WHY ATTEND?,VIEW BROCHURE | HOTEL & TRAVEL | WHY ATTEND?,False,3,https://www.rapid3devent.com/attend/why-attend/?utm_campaign=38921623-RP26&utm_medium=email&_hsmi=405630913&utm_content=405630911&utm_source=hs_email,2
2026-02-23,Unclassified,207998972080,CADDi Feb 25 Webinar - Last Call,6k90navkmpq (app.webinar.net),"Manufacturing in 2026: Winning With Fewer People, Higher Costs, and No Margin for Error","Date: Wednesday, February 25, 2026 Time: 2pm ET | Duration: 1 Hour",False,1,https://app.webinar.net/6k90NavKmpq?mcc=LastCall&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=405261050&utm_content=405048693&utm_source=hs_email,134
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Vyjzobzox2m (app.webinar.net),The Manufacturer’s Guide to R&D Tax Credits: How Do Manufacturer’s Qualify & What Changed With the OBBB,"Date: Tuesday, March 3, 2026 Time: 2pm ET | Duration: 1 Hour",False,1,https://app.webinar.net/VyJzoBzox2m?mcc=EmailV3&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,203
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvuwz46QKJT4HqEIGKT-MRcayhs7PS_vX8M81OoKhlOTwJ9_Q5dP8cqP8I1QhQvQaHdiJaX6&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,3
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvuh6mtnXHt_s8ejdhKzHGKJOFFrGR88zaUMWpJQvB0_-FJXoJjdNPHElLyk2hTbp6EL-tBy&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,2
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvseSXwNJCcSPZeKvaKpDpZrIRFGBA48ZocGVKe3a2iQsgz3HWJUTW96TBWsQmdcy-DxOBpX&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,2
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvtTxsRxxEbghHPcQo2QP-RaEnwWgBaCCs22X37z4izalxjDL517h9pULQGfEQP8oswWNFvu&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,2
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvupAMau9x71Dqxrrr_Bjq7UUizGTy5SGd2ptXBHY3VNA3tMYv0pi-pJk0CxmZPbvty0DmTf&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,2
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvv9e34L-FDMgb33Ak2DJ-e2Ag5xupKuMIku81VLeuXOJem7AhnYHHa7_-AAsP_P8Lq7Uco5&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,2
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvv2_mJwKILgDrq59K4bcqxfwT1NUuRhRuKaR2bQGTdqbY8of766buvIy_bjsiuzcOFjnuI7&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,2
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvvs3QcYMUDk-9o7KzpH21C8JLlSuzMZdUz5nkLs_CALxRPqtVbU9TM05TzMxN5GODhBo4LM&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,2
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvs_rO5LjFwmL-KxjFH9qK-rtnZj4CEzZkgBwuFjWnGSrQuOtCmyLRDlG6gvGl7cBb_zk95H&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,2
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvspyR2IlmgtBAWOWUMGrt_sojkaZWnK7Kt2D21HrUdPWNd-f0bBij4UtSHfM163ShiYltSZ&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,2
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvskj0yc-cFEHAAHEBqc5V_y4t0x-ZE3F-eCQn6DXJvhtwcnAJuEaafak9COEXPeeNCG2mGB&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,2
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvu_jYjNtTUYVMUhCJE4KAMok2quCh3lSfOcti54g1jumIjvPt34ZgDsfxljgujKWWqpk_1_&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,2
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvsslUgr0lkY_D7U20BWVbg19j7fUyp82tvGrGqFLTdt8ke_chaRu-LIazBZWaCsnj1C-gko&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,2
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvvr5VG5-7-aQLUSNAcnubiV-ujIxswowzWShlxzAy-1sc3USIPDBlkUMXPCS4iP-ceQj2KV&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,2
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvsCP2zjBJtpXA_95zwJjYlqhodsTZq72b-_6SGzXFHg4XQFCh1XdfB2fDa2Su_cix8WNQnN&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,2
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvtCpWtpZHUoLBn193MpirxOvjKjT1CibzByAEtjDg1t6G1MC7VM-J7fV1hi-3758RxtLYmS&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,2
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvusXXyMyymDFGTh5icEMJff45dpzkxAUllnF5juuo-gPPTyI75C_T4ZNbJcHFB6JU_Yzph-&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,2
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvtFNvSHOhY-jWCF8aBE6WqxsiczrycMRbloLf-26j3LQR-3vcMMBOdc98jrbep9lKeY6KeJ&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,2
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvte_8IMXOuOdwAtgB38jn4XJJzi01pgVgBmSOrrzydiRkcoJdxWjeeI4UH14J2m0wh5DVG8&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,1
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvvybvaqeD2vwKiPlAFDT3ylll16HP7Vez_cKe9y2IwE2HFU6F8TrXxTcnhbjeM9r5XgwffT&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,1
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvt6lQz9Jq9DZrDOph-2S4eWKpNDhUEISHsnEcsA6Jdkb3bhKpqrcyB6Hri2R6D0_3pBnYaJ&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,1
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvvobx0p8jPp1DJ1UtUEgS_pAkCyQbPvaElDvo-azutTvCVHxMxHZ0tfGGQqY6OfWR_-k-_3&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,1
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvsyz_EKTyBQYqyROy5gLzp5Fa3qkPqnjadVfLAE8_vomapS2_b5tiq36OPSedx__78AtwSj&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,1
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvttsGIEOmc72ikzeZ83oFg09xX7ymZt8Mnx67CEQ8qv5OK0RDv-lWV8831EPUMUGPgzW1PF&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,1
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvtbq8JV2y82eDwpgxUPqCEqsxqo8l7jWad0G8wrAmjx9KqMJJoNarjvbbtUEZgzHrjaQLky&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,1
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvuqwQsDAPQTgqulJvH4bqUbUJuHJ8idu9rGPFm0nE1-XVFXL9j7huoZgc7Bth5EwHbpxbcu&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,1
2026-03-02,Unclassified,207931863187,Sagemont Mar 3 Webinar - Email 3,Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),Are You Leaving Rd Tax Credits on the Table (49073304.hs-sites.com),,False,,https://49073304.hs-sites.com/are-you-leaving-rd-tax-credits-on-the-table?ecid=ACsprvuC_bykXYtWsi1ol0165QK2NAlAOvVpWA8Ws0fHqfICqZ-bkuDQvNHtOQHrhbPnTdNhJghL&utm_campaign=35572104-Webinars&utm_medium=email&_hsmi=406063313&utm_content=406063313&utm_source=hs_email,1
